0000,   -2.56,   2.52 ,   -0.02,   0.25 
0001,   0.32 ,   0.55 ,   -1.44,   0.71 
0002,   -3.29,   4.28 ,   -1.21,   0.43 
0003,   0.53 ,   -1.68,   1.43 ,   0.26 
0004,   -2.06,   4.31 ,   -2.4 ,   0.81 
0005,   -2.76,   3.91 ,   -0.63,   0.31 
0006,   3.99 ,   -4.16,   0.47 ,   0.46 
0007,   2.69 ,   -4.37,   1.27 ,   0.57 
0008,   -0.85,   1.31 ,   -0.24,   0.56 
0009,   0.92 ,   0.04 ,   -0.26,   0.17 
0010,   2.07 ,   -4.34,   2.07 ,   0.29 
0011,   -0.75,   -0.94,   1.94 ,   0.32 
0012,   -1.0 ,   0.61 ,   0.15 ,   0.49 
0013,   2.24 ,   -3.62,   2.21 ,   0.12 
0014,   -1.35,   -0.89,   2.28 ,   0.22 
0015,   -2.91,   3.71 ,   -0.31,   0.17 
0016,   1.66 ,   -2.54,   1.23 ,   0.1  
0017,   2.29 ,   -3.33,   1.49 ,   0.26 
0018,   -1.52,   -0.57,   2.2  ,   0.06 
0019,   2.29 ,   -3.86,   1.95 ,   0.23 
0020,   0.7  ,   -1.01,   0.52 ,   0.69 
0021,   -1.44,   1.72 ,   -0.61,   0.55 
0022,   2.66 ,   -4.09,   1.26 ,   0.32 
0023,   2.64 ,   -4.84,   2.02 ,   0.44 
0024,   -2.17,   3.58 ,   -1.17,   0.16 
0025,   -2.77,   1.68 ,   1.0  ,   0.24 
0026,   1.36 ,   -4.23,   2.35 ,   0.53 
0027,   -1.81,   2.12 ,   -0.11,   0.19 
0028,   0.34 ,   -0.65,   0.05 ,   0.88 
0029,   -0.68,   0.83 ,   -0.5 ,   0.98 
0030,   0.53 ,   -1.35,   0.7  ,   0.33 
0031,   -0.22,   -2.15,   2.47 ,   0.02 
0032,   0.01 ,   1.31 ,   -1.7 ,   0.65 
0033,   0.69 ,   -2.53,   2.46 ,   0.18 
0034,   1.48 ,   -3.2 ,   1.16 ,   0.77 
0035,   0.88 ,   0.45 ,   -0.59,   0.26 
0036,   -0.39,   2.15 ,   -1.33,   0.44 
0037,   -2.45,   2.93 ,   -0.67,   0.87 
0038,   -0.63,   1.02 ,   -0.52,   0.28 
0039,   2.97 ,   -3.43,   0.94 ,   0.19 
0040,   0.26 ,   -2.98,   2.26 ,   0.53 
0041,   -3.19,   4.96 ,   -1.51,   0.43 
0042,   1.05 ,   -1.81,   1.51 ,   0.21 
0043,   -0.68,   -0.67,   0.91 ,   0.65 
0044,   1.54 ,   -0.71,   -1.05,   0.68 
0045,   -2.3 ,   0.95 ,   0.95 ,   0.49 
0046,   -0.32,   -0.4 ,   1.01 ,   0.12 
0047,   -0.25,   2.3  ,   -2.14,   0.79 
0048,   2.91 ,   -3.19,   1.05 ,   0.03 
0049,   2.89 ,   -3.97,   1.2  ,   0.84 
0050,   3.56 ,   -4.23,   1.18 ,   0.09 
0051,   -0.67,   -0.05,   0.72 ,   0.06 
0052,   -0.01,   -1.92,   1.73 ,   0.38 
0053,   1.65 ,   -0.59,   -0.95,   0.82 
0054,   1.62 ,   -3.26,   1.59 ,   0.2  
0055,   3.36 ,   -3.95,   1.18 ,   0.05 
0056,   -1.47,   2.86 ,   -1.06,   0.21 
0057,   1.14 ,   -2.25,   1.46 ,   0.21 
0058,   -3.62,   3.72 ,   -0.39,   0.55 
0059,   -1.74,   3.69 ,   -1.96,   0.85 
0060,   3.93 ,   -4.86,   0.8  ,   0.68 
0061,   2.41 ,   -3.91,   2.06 ,   0.02 
0062,   -0.98,   1.62 ,   -0.53,   0.29 
0063,   1.06 ,   -1.2 ,   0.26 ,   0.14 
0064,   0.69 ,   -0.61,   0.83 ,   0.09 
0065,   2.29 ,   -2.87,   0.86 ,   0.63 
0066,   -0.3 ,   2.6  ,   -2.17,   0.77 
0067,   -0.2 ,   -0.73,   1.12 ,   0.03 
0068,   -0.28,   1.47 ,   -0.62,   0.3  
0069,   -2.36,   3.43 ,   -0.89,   0.24 
0070,   0.53 ,   -0.49,   -0.05,   0.6  
0071,   2.48 ,   -2.94,   -0.08,   0.89 
0072,   1.43 ,   -1.78,   0.91 ,   0.42 
0073,   -0.83,   1.12 ,   0.16 ,   0.47 
0074,   0.07 ,   0.42 ,   -0.41,   0.29 
0075,   -2.72,   1.57 ,   1.37 ,   0.17 
0076,   2.32 ,   -4.27,   1.82 ,   0.25 
0077,   -2.22,   3.61 ,   -1.21,   0.75 
0078,   1.9  ,   -1.75,   -0.79,   0.84 
0079,   -0.01,   -2.09,   2.28 ,   0.17 
0080,   2.82 ,   -3.39,   -0.01,   0.88 
0081,   -2.31,   1.3  ,   1.19 ,   0.01 
0082,   -2.64,   3.45 ,   -0.64,   0.04 
0083,   1.5  ,   -3.07,   2.34 ,   0.11 
0084,   3.51 ,   -4.95,   1.94 ,   0.07 
0085,   1.58 ,   -3.7 ,   2.45 ,   0.09 
0086,   2.62 ,   -4.05,   0.83 ,   0.93 
0087,   1.65 ,   -3.38,   0.84 ,   0.92 
0088,   2.11 ,   -4.05,   2.47 ,   0.39 
0089,   1.08 ,   -0.45,   -0.35,   0.57 
0090,   -2.71,   4.6  ,   -1.32,   0.16 
0091,   -2.04,   1.66 ,   0.51 ,   0.25 
0092,   -0.34,   2.1  ,   -1.43,   0.29 
0093,   0.39 ,   -1.61,   1.25 ,   0.14 
0094,   -1.23,   3.4  ,   -1.67,   0.25 
0095,   -3.22,   3.46 ,   -0.0 ,   0.29 
0096,   -0.48,   2.82 ,   -2.59,   0.66 
0097,   0.42 ,   -0.8 ,   0.3  ,   0.24 
0098,   0.42 ,   -0.61,   0.53 ,   0.65 
0099,   -0.69,   0.33 ,   0.15 ,   0.87 
0100,   2.49 ,   -0.83,   -1.6 ,   0.77 
0101,   0.39 ,   0.11 ,   -0.0 ,   0.49 
0102,   -0.35,   1.55 ,   -1.45,   0.98 
0103,   2.6  ,   -3.24,   0.55 ,   0.47 
0104,   -3.33,   4.26 ,   -0.88,   0.63 
0105,   -0.48,   1.28 ,   -0.46,   0.15 
0106,   2.32 ,   -4.87,   2.6  ,   0.25 
0107,   0.07 ,   -1.81,   1.68 ,   0.45 
0108,   -0.11,   0.04 ,   -0.44,   0.56 
0109,   -0.87,   -0.41,   1.0  ,   0.58 
0110,   -1.36,   3.93 ,   -2.61,   0.74 
0111,   -1.31,   1.17 ,   -0.02,   0.43 
0112,   -0.02,   -0.64,   0.24 ,   0.65 
0113,   -1.46,   2.53 ,   -0.95,   0.14 
0114,   -0.45,   -1.37,   2.4  ,   0.09 
0115,   -0.04,   2.99 ,   -2.92,   0.97 
0116,   -0.25,   3.41 ,   -3.23,   0.82 
0117,   3.94 ,   -3.5 ,   -0.35,   0.73 
